dayofweek,month,Duration
0,1,1088.074014037145
0,2,1064.5152792623999
0,3,1184.377565711282
0,4,1276.1155274258558
0,5,1456.9908250395313
0,6,1268.6722085396657
0,7,1301.096462305727
0,8,1353.08424008099
0,9,1194.8557279465097
0,10,1159.2927817871728
0,11,1033.0323692006084
0,12,1291.9229170827014
1,1,1082.6726713583118
1,2,1102.1426948568312
1,3,1158.7934956105348
1,4,1203.1349911829273
1,5,1229.2255347380421
1,6,1251.0001242999672
1,7,1253.4603740856503
1,8,1250.2392135021032
1,9,1141.1727333722613
1,10,1071.3252362744618
1,11,1044.1636552333491
1,12,1203.9257017180933
2,1,1119.2112710971553
2,2,1194.6543895379448
2,3,1123.4053327523752
2,4,1276.5665327444835
2,5,1268.2184227778355
2,6,1257.9877740655156
2,7,1276.452746998367
2,8,1268.096599233414
2,9,1134.6859702852514
2,10,1112.5845949009674
2,11,1144.9788027124343
2,12,1239.7280360468915
3,1,1102.819956928011
3,2,1182.8102306569056
3,3,1208.5754439670916
3,4,1210.044112968356
3,5,1323.6056660310542
3,6,1301.4891341506861
3,7,1300.8884962112713
3,8,1235.5247372320569
3,9,1141.2671122960112
3,10,1116.7694531688749
3,11,1083.9080652751209
3,12,1180.5430426676382
4,1,1130.1027216887514
4,2,1180.407900370164
4,3,1298.024909284607
4,4,1316.4725905217538
4,5,1336.7962323662364
4,6,1336.1156651462065
4,7,1319.4605245190717
4,8,1302.580139796912
4,9,1204.4618759643074
4,10,1162.0843932129878
4,11,1133.2882362763664
4,12,1359.8205325340132
5,1,1336.772183318635
5,2,1443.4792556622488
5,3,1463.018754630171
5,4,1573.3653161700247
5,5,1661.304414806434
5,6,1630.8749895275837
5,7,1661.5014630046537
5,8,1526.991058177951
5,9,1501.9343895581505
5,10,1361.6068449448287
5,11,1380.2688041064225
5,12,1363.3654119980754
6,1,1382.7816180557343
6,2,1519.9159935477703
6,3,1458.6541713305867
6,4,1677.5869050830213
6,5,1764.5197078966075
6,6,1591.9905293061274
6,7,1551.020080237478
6,8,1584.7721929828451
6,9,1469.4419846369706
6,10,1391.6376067252404
6,11,1363.3940102688423
6,12,1387.6433627427957
